기관ID,기관이름,상품이름,숙박일자,상태
193,통고산 자연휴양림,얼레지,20201014,체크아웃
190,지리산 자연휴양림,형제봉,20201018,체크아웃
105,신불산 자연휴양림,하단 야영데크(106),20201106,체크아웃
188,회문산 자연휴양림,층층나무,20201017,체크아웃
196,천관산 자연휴양림,잣나무,20201108,체크아웃
111,대관령 자연휴양림,동고비,20201104,체크아웃
195,운문산 자연휴양림,고라니,20201025,체크아웃
187,희리산 자연휴양림,608호 옥잠화,20201018,체크아웃
187,희리산 자연휴양림,608호 옥잠화,20201019,체크아웃
104,아세안 자연휴양림,인도네시아(2),20201021,체크아웃
183,청옥산 자연휴양림,오토캠핑장(405),20201023,체크아웃
104,아세안 자연휴양림,미얀마(1),20201104,체크아웃
107,삼봉 자연휴양림,사삼봉,20201018,체크아웃
192,남해편백 자연휴양림,목리도,20201017,체크아웃
224,운악산 자연휴양림,[D동]은방울,20201025,체크아웃
107,삼봉 자연휴양림,산토끼,20201021,체크아웃
201,진도 자연휴양림,감탕나무,20201123,체크아웃
192,남해편백 자연휴양림,"굴피나무1,2(24.7㎡×2실)",20201111,체크아웃
189,변산 자연휴양림,농어,20201016,체크아웃
189,변산 자연휴양림,농어,20201023,체크아웃
101,유명산 자연휴양림,캠핑카야영장(311),20201018,체크아웃
141,덕유산 자연휴양림,벚나무,20201028,체크아웃
189,변산 자연휴양림,낙지,20201018,체크아웃
189,변산 자연휴양림,낙지,20201019,체크아웃
101,유명산 자연휴양림,[연]보라매,20201022,체크아웃
196,천관산 자연휴양림,편백나무,20201031,체크아웃
101,유명산 자연휴양림,[연]청설모,20201030,체크아웃
189,변산 자연휴양림,우럭,20201116,체크아웃
222,용화산 자연휴양림,[B동]고로쇠,20201115,체크아웃
222,용화산 자연휴양림,[B동]고로쇠,20201116,체크아웃
222,용화산 자연휴양림,[B동]물푸레,20201115,체크아웃
222,용화산 자연휴양림,[B동]물푸레,20201116,체크아웃
101,유명산 자연휴양림,야영데크(110),20201017,체크아웃
101,유명산 자연휴양림,원앙새,20201029,체크아웃
105,신불산 자연휴양림,하단 산벚나무,20201023,체크아웃
116,화천숲속 야영장,오토캠핑장25(데크),20201028,체크아웃
116,화천숲속 야영장,오토캠핑장25(데크),20201029,체크아웃
106,청태산 자연휴양림,소나무,20201022,체크아웃
196,천관산 자연휴양림,잣나무,20201119,체크아웃
196,천관산 자연휴양림,잣나무,20201120,체크아웃
113,가리왕산 자연휴양림,꾀꼬리,20201028,체크아웃
113,가리왕산 자연휴양림,꾀꼬리,20201029,체크아웃
192,남해편백 자연휴양림,콩섬,20201104,체크아웃
183,청옥산 자연휴양림,오토캠핑장(224),20201024,체크아웃
187,희리산 자연휴양림,너구리(3동2층),20201029,체크아웃
245,대야산 자연휴양림,301호 머루,20201017,체크아웃
115,속리산 자연휴양림,207호 삼나무,20201022,체크아웃
189,변산 자연휴양림,모항,20201112,체크아웃
106,청태산 자연휴양림,야영데크(125),20201016,체크아웃
108,중미산 자연휴양림,천왕성,20201104,체크아웃
115,속리산 자연휴양림,602호 뻐꾸기,20201028,체크아웃
107,삼봉 자연휴양림,다람쥐,20201029,체크아웃
182,칠보산 자연휴양림,달맞이,20201108,체크아웃
188,회문산 자연휴양림,자귀나무,20201018,체크아웃
187,희리산 자연휴양림,너구리(3동2층),20201018,체크아웃
105,신불산 자연휴양림,하단 야영데크(110),20201114,체크아웃
110,복주산 자연휴양림,소나무,20201022,체크아웃
104,아세안 자연휴양림,싱가포르(1),20201026,체크아웃
104,아세안 자연휴양림,싱가포르(2),20201026,체크아웃
192,남해편백 자연휴양림,박도,20201025,체크아웃
192,남해편백 자연휴양림,박도,20201026,체크아웃
183,청옥산 자연휴양림,오토캠핑장(215),20201114,체크아웃
202,달음산 자연휴양림,도깨비(1층),20201016,체크아웃
109,방태산 자연휴양림,야영데크(114),20201028,체크아웃
109,방태산 자연휴양림,야영데크(114),20201029,체크아웃
106,청태산 자연휴양림,야영데크(126),20201018,체크아웃
245,대야산 자연휴양림,604호 주흘산,20201018,체크아웃
101,유명산 자연휴양림,[연]오동나무,20201018,체크아웃
104,아세안 자연휴양림,싱가포르(3),20201026,체크아웃
108,중미산 자연휴양림,해왕성,20201018,체크아웃
190,지리산 자연휴양림,덕평봉,20201023,체크아웃
101,유명산 자연휴양림,야영데크(223),20201016,체크아웃
190,지리산 자연휴양림,써리봉1,20201025,체크아웃
300,상당산성 자연휴양림,9동 신갈나무,20201017,체크아웃
182,칠보산 자연휴양림,야영데크(305),20201021,체크아웃
182,칠보산 자연휴양림,야영데크(305),20201022,체크아웃
300,상당산성 자연휴양림,9동 신갈나무,20201021,체크아웃
194,운장산 자연휴양림,종달새,20201025,체크아웃
192,남해편백 자연휴양림,야영데크(110),20201016,체크아웃
224,운악산 자연휴양림,[C동]산벚나무,20201105,체크아웃
111,대관령 자연휴양림,공작새,20201104,체크아웃
111,대관령 자연휴양림,공작새,20201105,체크아웃
111,대관령 자연휴양림,공작새,20201106,체크아웃
193,통고산 자연휴양림,괭이밥,20201104,체크아웃
193,통고산 자연휴양림,괭이밥,20201105,체크아웃
107,삼봉 자연휴양림,크낙새,20201108,체크아웃
183,청옥산 자연휴양림,오토캠핑장(213),20201031,체크아웃
188,회문산 자연휴양림,굴참나무,20201029,체크아웃
101,유명산 자연휴양림,야영데크(249),20201018,체크아웃
192,남해편백 자연휴양림,야영데크(112),20201018,체크아웃
189,변산 자연휴양림,신시도항,20201026,체크아웃
103,산음 자연휴양림,황토방2,20201021,체크아웃
103,산음 자연휴양림,황토방2,20201022,체크아웃
108,중미산 자연휴양림,금성,20201015,체크아웃
103,산음 자연휴양림,황토방1,20201018,체크아웃
245,대야산 자연휴양림,캐빈10,20201015,체크아웃
187,희리산 자연휴양림,702호 산수유,20201022,체크아웃
111,대관령 자연휴양림,딱따구리,20201107,체크아웃
111,대관령 자연휴양림,딱따구리,20201108,체크아웃
141,덕유산 자연휴양림,벚나무,20201106,체크아웃
103,산음 자연휴양림,반려견 객실(치와와),20201018,체크아웃
202,달음산 자연휴양림,은도끼(2층),20201115,체크아웃
194,운장산 자연휴양림,원앙새,20201119,체크아웃
220,용현 자연휴양림,305호 편백나무,20201023,체크아웃
182,칠보산 자연휴양림,야영데크(205),20201016,체크아웃
242,황정산 자연휴양림,야영데크(101),20201023,체크아웃
200,낙안민속 자연휴양림,태백산맥,20201025,체크아웃
242,황정산 자연휴양림,A동-굴참나무(2층),20201028,체크아웃
242,황정산 자연휴양림,A동-굴참나무(2층),20201029,체크아웃
108,중미산 자연휴양림,명왕성,20201018,체크아웃
189,변산 자연휴양림,낙지,20201023,체크아웃
141,덕유산 자연휴양림,야영데크(127),20201030,체크아웃
189,변산 자연휴양림,우럭,20201121,체크아웃
103,산음 자연휴양림,크낙새,20201030,체크아웃
195,운문산 자연휴양림,야영데크(210),20201107,체크아웃
190,지리산 자연휴양림,써리봉2,20201108,체크아웃
106,청태산 자연휴양림,낙엽송,20201016,체크아웃
244,검봉산 자연휴양림,[C동]산철쭉,20201025,체크아웃
101,유명산 자연휴양림,뻐꾸기,20201014,체크아웃
107,삼봉 자연휴양림,소쩍새,20201121,체크아웃
116,화천숲속 야영장,오토캠핑장35(쇄석),20201118,체크아웃
116,화천숲속 야영장,오토캠핑장35(쇄석),20201119,체크아웃
113,가리왕산 자연휴양림,소쩍새,20201104,체크아웃
113,가리왕산 자연휴양림,소쩍새,20201105,체크아웃
189,변산 자연휴양림,바지락,20201122,체크아웃
189,변산 자연휴양림,바지락,20201016,체크아웃
202,달음산 자연휴양림,놀부(2층),20201016,체크아웃
111,대관령 자연휴양림,산토끼,20201113,체크아웃
103,산음 자연휴양림,금강송,20201016,체크아웃
243,두타산 자연휴양림,야영데크(119),20201029,체크아웃
243,두타산 자연휴양림,야영데크(119),20201030,체크아웃
223,백운산 자연휴양림,[B동]말굽버섯,20201018,체크아웃
191,오서산 자연휴양림,(신)413호 초롱꽃,20201017,체크아웃
111,대관령 자연휴양림,딱따구리,20201025,체크아웃
111,대관령 자연휴양림,딱따구리,20201026,체크아웃
189,변산 자연휴양림,우럭,20201105,체크아웃
106,청태산 자연휴양림,가문비,20201021,체크아웃
106,청태산 자연휴양림,가문비,20201022,체크아웃
106,청태산 자연휴양림,가문비,20201023,체크아웃
189,변산 자연휴양림,곰소항,20201121,체크아웃
192,남해편백 자연휴양림,난초섬,20201015,체크아웃
101,유명산 자연휴양림,[연]계수나무,20201106,체크아웃
101,유명산 자연휴양림,[연]보라매,20201101,체크아웃
201,진도 자연휴양림,녹나무,20201111,체크아웃
201,진도 자연휴양림,녹나무,20201112,체크아웃
105,신불산 자연휴양림,하단 서어나무,20201021,체크아웃
105,신불산 자연휴양림,하단 서어나무,20201022,체크아웃
202,달음산 자연휴양림,거북이(2층),20201113,체크아웃
187,희리산 자연휴양림,캠핑카야영장(403),20201031,체크아웃
192,남해편백 자연휴양림,목도,20201111,체크아웃
187,희리산 자연휴양림,멧돼지(3동1층),20201104,체크아웃
187,희리산 자연휴양림,멧돼지(3동1층),20201105,체크아웃
187,희리산 자연휴양림,멧돼지(3동1층),20201106,체크아웃
189,변산 자연휴양림,낙지,20201028,체크아웃
116,화천숲속 야영장,오토캠핑장42(쇄석),20201019,체크아웃
103,산음 자연휴양림,야영데크(216),20201022,체크아웃
103,산음 자연휴양림,야영데크(216),20201023,체크아웃
101,유명산 자연휴양림,캠핑카야영장(307),20201018,체크아웃
103,산음 자연휴양림,반려견 객실(웰시코기),20201028,체크아웃
103,산음 자연휴양림,반려견 객실(웰시코기),20201029,체크아웃
115,속리산 자연휴양림,206호 낙엽송,20201028,체크아웃
243,두타산 자연휴양림,물봉선,20201021,체크아웃
242,황정산 자연휴양림,야영데크(108),20201121,체크아웃
107,삼봉 자연휴양림,전대감,20201101,체크아웃
107,삼봉 자연휴양림,전대감,20201102,체크아웃
196,천관산 자연휴양림,야영데크(107),20201017,체크아웃
111,대관령 자연휴양림,제비,20201029,체크아웃
111,대관령 자연휴양림,제비,20201030,체크아웃
224,운악산 자연휴양림,[A동]꾀꼬리,20201017,체크아웃
103,산음 자연휴양림,크낙새,20201022,체크아웃
116,화천숲속 야영장,오토캠핑장27(데크),20201026,체크아웃
113,가리왕산 자연휴양림,원앙새,20201025,체크아웃
103,산음 자연휴양림,꽃사슴,20201026,체크아웃
222,용화산 자연휴양림,야영데크(308),20201114,체크아웃
189,변산 자연휴양림,고사포항,20201120,체크아웃
103,산음 자연휴양림,반려견 객실(치와와),20201017,체크아웃
141,덕유산 자연휴양림,단풍나무,20201111,체크아웃
141,덕유산 자연휴양림,단풍나무,20201112,체크아웃
113,가리왕산 자연휴양림,비둘기,20201107,체크아웃
101,유명산 자연휴양림,[연]크낙새,20201018,체크아웃
101,유명산 자연휴양림,[연]크낙새,20201019,체크아웃
223,백운산 자연휴양림,[B동]영지버섯,20201107,체크아웃
191,오서산 자연휴양림,(신)416호 구절초꽃,20201023,체크아웃
194,운장산 자연휴양림,참새,20201017,체크아웃
110,복주산 자연휴양림,금낭화,20201028,체크아웃
110,복주산 자연휴양림,금낭화,20201029,체크아웃
103,산음 자연휴양림,너구리,20201108,체크아웃
113,가리왕산 자연휴양림,야영데크(113),20201031,체크아웃
108,중미산 자연휴양림,명왕성,20201112,체크아웃
115,속리산 자연휴양림,301호 솔나리,20201015,체크아웃
115,속리산 자연휴양림,301호 솔나리,20201016,체크아웃
202,달음산 자연휴양림,달님(2층),20201018,체크아웃
115,속리산 자연휴양림,302호 복주머니란,20201023,체크아웃
193,통고산 자연휴양림,산철쭉,20201025,체크아웃
193,통고산 자연휴양림,산철쭉,20201026,체크아웃
113,가리왕산 자연휴양림,꾀꼬리,20201018,체크아웃
113,가리왕산 자연휴양림,꾀꼬리,20201019,체크아웃
189,변산 자연휴양림,군산항,20201016,체크아웃
111,대관령 자연휴양림,딱따구리,20201030,체크아웃
111,대관령 자연휴양림,딱따구리,20201031,체크아웃
187,희리산 자연휴양림,608호 옥잠화,20201016,체크아웃
188,회문산 자연휴양림,야영데크(101),20201031,체크아웃
104,아세안 자연휴양림,태국(3),20201030,체크아웃
224,운악산 자연휴양림,[A동]동고비,20201112,체크아웃
101,유명산 자연휴양림,야영데크(219),20201018,체크아웃
183,청옥산 자연휴양림,매발톱,20201015,체크아웃
183,청옥산 자연휴양림,매발톱,20201016,체크아웃
222,용화산 자연휴양림,야영데크(101),20201104,체크아웃
222,용화산 자연휴양림,야영데크(101),20201105,체크아웃
193,통고산 자연휴양림,괭이밥,20201025,체크아웃
182,칠보산 자연휴양림,원추리,20201018,체크아웃
187,희리산 자연휴양림,참나무(1동2층),20201016,체크아웃
103,산음 자연휴양림,야영데크(113),20201018,체크아웃
110,복주산 자연휴양림,제비꽃,20201026,체크아웃
111,대관령 자연휴양림,부엉이,20201018,체크아웃
222,용화산 자연휴양림,야영데크(308),20201016,체크아웃
187,희리산 자연휴양림,야영데크(213),20201023,체크아웃
202,달음산 자연휴양림,놀부(2층),20201108,체크아웃
110,복주산 자연휴양림,제비꽃,20201025,체크아웃
103,산음 자연휴양림,반려견 객실(삽살개),20201030,체크아웃
103,산음 자연휴양림,꽃사슴,20201028,체크아웃
103,산음 자연휴양림,꽃사슴,20201029,체크아웃
109,방태산 자연휴양림,야영데크(116),20201029,체크아웃
182,칠보산 자연휴양림,생강나무,20201031,체크아웃
115,속리산 자연휴양림,601호 부엉이,20201023,체크아웃
103,산음 자연휴양림,다람쥐,20201019,체크아웃
184,검마산 자연휴양림,일반_야영데크(112),20201031,체크아웃
195,운문산 자연휴양림,생금비리산장,20201018,체크아웃
192,남해편백 자연휴양림,돌섬,20201105,체크아웃
107,삼봉 자연휴양림,올빼미,20201022,체크아웃
101,유명산 자연휴양림,[연]계수나무,20201015,체크아웃
195,운문산 자연휴양림,문복산장,20201113,체크아웃
191,오서산 자연휴양림,(신)402호 복숭아꽃,20201102,체크아웃
101,유명산 자연휴양림,반달곰,20201111,체크아웃
181,방장산 자연휴양림,행복,20201018,체크아웃
107,삼봉 자연휴양림,야영데크(207)_,20201018,체크아웃
107,삼봉 자연휴양림,야영데크(207)_,20201016,체크아웃
104,아세안 자연휴양림,태국(3),20201016,체크아웃
181,방장산 자연휴양림,진달래,20201111,체크아웃
181,방장산 자연휴양림,진달래,20201112,체크아웃
104,아세안 자연휴양림,베트남(3),20201017,체크아웃
222,용화산 자연휴양림,야영데크(207),20201017,체크아웃
187,희리산 자연휴양림,캠핑카야영장(105),20201016,체크아웃
116,화천숲속 야영장,오토캠핑장40(데크),20201019,체크아웃
101,유명산 자연휴양림,야영데크(225),20201024,체크아웃
187,희리산 자연휴양림,601호 금낭화,20201101,체크아웃
222,용화산 자연휴양림,[C동]고라니,20201016,체크아웃
104,아세안 자연휴양림,인도네시아(1),20201016,체크아웃
192,남해편백 자연휴양림,소초도,20201028,체크아웃
192,남해편백 자연휴양림,소초도,20201029,체크아웃
104,아세안 자연휴양림,캄보디아(2),20201015,체크아웃
141,덕유산 자연휴양림,야영데크(127),20201015,체크아웃
103,산음 자연휴양림,야영데크(215),20201018,체크아웃
300,상당산성 자연휴양림,6동 벚나무,20201025,체크아웃
103,산음 자연휴양림,반려견 객실(푸들),20201023,체크아웃
113,가리왕산 자연휴양림,파랑새,20201016,체크아웃
192,남해편백 자연휴양림,팥섬,20201028,체크아웃
101,유명산 자연휴양림,산까치,20201015,체크아웃
107,삼봉 자연휴양림,가칠봉,20201028,체크아웃
107,삼봉 자연휴양림,가칠봉,20201029,체크아웃
105,신불산 자연휴양림,(1시간 걸어가는)상단 4호실 ,20201111,체크아웃
111,대관령 자연휴양림,공작새,20201101,체크아웃
116,화천숲속 야영장,오토캠핑장38(데크),20201015,체크아웃
242,황정산 자연휴양림,야영데크(114),20201024,체크아웃
182,칠보산 자연휴양림,야영데크(114),20201016,체크아웃
182,칠보산 자연휴양림,야영데크(114),20201017,체크아웃
101,유명산 자연휴양림,고라니,20201105,체크아웃
104,아세안 자연휴양림,베트남(3),20201114,체크아웃
202,달음산 자연휴양림,거북이(2층),20201021,체크아웃
103,산음 자연휴양림,반려견 객실(말티즈),20201030,체크아웃
222,용화산 자연휴양림,야영데크(203),20201016,체크아웃
107,삼봉 자연휴양림,산토끼,20201018,체크아웃
200,낙안민속 자연휴양림,벚나무,20201111,체크아웃
200,낙안민속 자연휴양림,벚나무,20201112,체크아웃
107,삼봉 자연휴양림,산양,20201022,체크아웃
220,용현 자연휴양림,310호 상수리나무,20201028,체크아웃
220,용현 자연휴양림,310호 상수리나무,20201029,체크아웃
220,용현 자연휴양림,304호 굴피나무,20201115,체크아웃
190,지리산 자연휴양림,야영데크(310),20201016,체크아웃
242,황정산 자연휴양림,B동-낙엽송(2층),20201017,체크아웃
245,대야산 자연휴양림,309호 산딸기,20201025,체크아웃
245,대야산 자연휴양림,309호 산딸기,20201026,체크아웃
191,오서산 자연휴양림,(신)407호 모란꽃,20201101,체크아웃
190,지리산 자연휴양림,덕평봉,20201111,체크아웃
190,지리산 자연휴양림,덕평봉,20201112,체크아웃
242,황정산 자연휴양림,3호-고로쇠,20201025,체크아웃
111,대관령 자연휴양림,크낙새,20201016,체크아웃
108,중미산 자연휴양림,천왕성,20201018,체크아웃
107,삼봉 자연휴양림,오소리,20201028,체크아웃
107,삼봉 자연휴양림,오소리,20201029,체크아웃
111,대관령 자연휴양림,야영데크(105),20201016,체크아웃
222,용화산 자연휴양림,[C동]다람쥐,20201016,체크아웃
300,상당산성 자연휴양림,3동 은행나무,20201022,체크아웃
111,대관령 자연휴양림,딱따구리,20201028,체크아웃
111,대관령 자연휴양림,딱따구리,20201029,체크아웃
