"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"16","일반야영장업","03_11_07_P","5600000","CDFI2262132015000006","20150529","","02","휴업","02","휴업","","20191101","20211031","","031-538-3342","","487010","경기도 포천시 동교동 산 31번지 외 1필지","경기도 포천시 원동교길 309 (동교동)","11163","천보산자연휴양림 캠핑장","20191114091005","U","2019-11-16 02:40:00.0","","210366.880832226","484625.731731319","일반야영장업","","","","기타","","","기타","","","","","","","","","","","","","","1799","","","","","","","","","","","","","1799",
"17","일반야영장업","03_11_07_P","4170000","CDFI2262132016000013","20160929","","02","휴업","02","휴업","","20201021","20210822","","02-2207-0909","","","경기도 양평군 양평읍 백안리 231","경기도 양평군 양평읍 경강로 2277-21","12548","양평 베이스캠프","20201021111327","U","2020-10-23 02:40:00.0","","246890.479878784","443822.188482506","일반야영장업","","관리지역","1","기타","","","기타","1","","","32","","","","","","","","","","32","","","","","","","","","","","","","32",
"18","일반야영장업","03_11_07_P","3420000","CDFI2262132016000002","20160714","","02","휴업","02","휴업","","20200823","20200905","","662-3547","","","대구광역시 동구 봉무동 산 135-3","","","봉무공원 야영장","20200827140418","U","2020-08-29 02:40:00.0","","348926.195256","270089.279808","일반야영장업","","자연녹지지역","","","","","","","","","","","","","","","","","","","3600","","","","","","","","","","","","","3600",
"19","일반야영장업","03_11_07_P","4770000","CDFI2262132015000006","20150812","","02","휴업","02","휴업","","20200608","20220331","","063 652 9288","","595871","전라북도 순창군 구림면 화암리 1086","전라북도 순창군 구림면 구림로 3-2","595871","순창향 관광농원 오토캠핑장","20200707155301","U","2020-07-09 02:40:00.0","","205306.305114","214699.364488","일반야영장업","","관리지역","","기타","","","기타","","","","","","","","","","","","","","76.61","","","","","","","","","","","","","77",
"20","일반야영장업","03_11_07_P","4170000","CDFI2262132017000005","20170901","","02","휴업","02","휴업","","20191010","20201009","","","","","경기도 양평군 단월면 향소리 124번지","","","세계인의랜드","20191010181526","U","2019-10-12 02:40:00.0","","258444.9628483","451534.240819137","일반야영장업","","관리지역","","기타","","","근린생활시설","","","","275","","","","","","","","","","5498","","","","","","","","","50000000","","","","5498",
"21","일반야영장업","03_11_07_P","4170000","CDFI2262132018000002","20180912","","02","휴업","02","휴업","","20200707","20211231","","","","","경기도 양평군 서종면 문호리 1067-5","경기도 양평군 서종면 수대울길 148","12503","해걸음글램핑장","20200707165708","U","2020-07-09 02:40:00.0","","231518.856842869","453548.719637985","일반야영장업","","","","기타","","삼성화재","","","","","","","","","","","","","","","2294","","","","","","","","","","","","","2294",
"22","일반야영장업","03_11_07_P","5240000","CDFI2262132018000002","20180725","","02","휴업","02","휴업","","20220721","20230720","","","","","경상북도 봉화군 소천면 현동리 702-11","","","무학봉 야영장","20220720174955","U","2022-07-22 02:40:00.0","","378334.391073409","384194.842413502","일반야영장업","","주거지역","","","","","","","","","","","","","","","","","","","1861","","","","","","","","","","","","","1861",
"23","일반야영장업","03_11_07_P","4160000","CDFI2262132015000008","20150616","","02","휴업","02","휴업","","20221027","20240710","","","","477824","경기도 가평군 상면 임초리 391","경기도 가평군 상면 왕대벌길 147","12447","아리움캠핑","20221027134901","U","2022-10-29 02:40:00.0","","232801.566866422","474061.279082101","일반야영장업","","관리지역","0","기타","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","75","","0","","","","","","","0","","","","75",
"24","일반야영장업","03_11_07_P","5310000","CDFI2262132016000003","20160624","","02","휴업","02","휴업","","20190304","20190704","","055-794-1288","","","경상남도 진주시 미천면 오방리 141-4번지","경상남도 진주시 미천면 어옥로 3","52602","생각나무자연학교","20200306132950","U","2020-03-08 02:40:00.0","","302701.359754838","199683.941919538","일반야영장업","","관리지역","2","기타","","","교육연구시설","2","0","","","","","","","","","","","","427","","","","","","","","","200000000","","","","427",
"25","일반야영장업","03_11_07_P","4730000","CDFI2262132016000001","20160504","","02","휴업","02","휴업","","20220513","20240512","","","","","전라북도 진안군 안천면 삼락리 1159-1","전라북도 진안군 안천면 안용로 832-27","55406","섬바위캠핑장","20220805153105","U","2022-08-07 02:40:00.0","","247547.394315","272646.698548","일반야영장업","","관리지역","","","","","","","","","","","","","","","","","","","20017","","","","","","","","","","","","","20017",
"26","일반야영장업","03_11_07_P","4270000","CDFI2262132015000035","20150714","","02","휴업","02","휴업","","20220905","20230331","","","","","강원도 영월군 무릉도원면 두산리 604","강원도 영월군 무릉도원면 새막골길 165-13","26200","두산 캠핑장","20221005084216","U","2022-10-07 02:40:00.0","","302885.448104145","424619.834307182","일반야영장업","","","0","","","현대해상화재보험","","0","0","0","0","","","0","0","","0","0","","0","4287","","0","","","","","","","0","","","","4287",
"27","일반야영장업","03_11_07_P","5070000","CDFI2262132015000002","20150520","","02","휴업","02","휴업","","20160816","20230316","","054-821-1777","","","경상북도 안동시 예안면 인계리 430번지","경상북도 안동시 예안면 장갈로 39","36607","카카오캠핑장","20160907171516","I","2018-11-26 13:44:42.0","","372144.031882487","356625.07173214","일반야영장업","","","","","","","","","","","","","","","","","","","","","6522","","","","","","","","","","","","","6522",
"28","일반야영장업","03_11_07_P","4160000","CDFI2262132015000011","20150715","","02","휴업","02","휴업","","20221011","20230501","","","","477842","경기도 가평군 북면 목동리 1077-2","","","플로렌스 글램핑 & 캠핑","20221012160403","U","2022-10-14 02:40:00.0","","248353.445498517","487951.428868273","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"29","일반야영장업","03_11_07_P","4160000","CDFI2262132015000015","20150807","","02","휴업","02","휴업","","20221020","20231231","","","","477803","경기도 가평군 가평읍 금대리 583-2","경기도 가평군 가평읍 북한강변로 154","477803","사계절글램핑","20221020195918","U","2022-10-22 02:40:00.0","","246236.060503209","471728.917264182","일반야영장업","","","","","","","","","","","","","","","","","","","","","29.7","","","","","","","","","","","","","30",
"30","일반야영장업","03_11_07_P","4890000","CDFI2262132017000002","20170322","","02","휴업","02","휴업","","20210806","20211231","","","","","전라남도 보성군 문덕면 양동리 942","","","별볼일 있는 야영장","20210806175700","U","2021-08-08 02:40:00.0","","217314.639445","157656.403087","일반야영장업","","","","기타","","","","","","","149","","","","","","","","","","149.1","","","","","","","","","110000000","","","","149",
"31","일반야영장업","03_11_07_P","6520000","CDFI2262132015001055","20150522","","02","휴업","02","휴업","","20220506","20240430","","","","","제주특별자치도 서귀포시 보목동 526","제주특별자치도 서귀포시 보목포로65번길 6","","오름집","20220506133419","U","2022-05-08 02:40:00.0","","163423.196696","-28313.6422981","일반야영장업","","","0","","","","","0","0","0","","","","","","","","","","","1049","","","","","","","","","0","","","","1049",
"32","일반야영장업","03_11_07_P","4740000","CDFI2262132015000005","20150521","","02","휴업","02","휴업","","20200201","20210630","","","","568833","전라북도 무주군 적상면 포내리 561-1번지","전라북도 무주군 적상면 괴목로 603-15","55529","초록빛언덕글램핑","20200213091841","U","2020-02-15 02:40:00.0","","264445.882637","272929.791043","일반야영장업","","","1","기타","","","숙박시설","1","","","","","","","","","","","","","4080","","","","","","","","","","","","","4080",
"33","일반야영장업","03_11_07_P","4740000","CDFI2262132018000002","20180327","","02","휴업","02","휴업","","20200811","20210711","","","","","전라북도 무주군 적상면 포내리 291","전라북도 무주군 적상면 옥소동길 52","55529","옥수골계곡펜션야영장","20200811174310","U","2020-08-13 02:40:00.0","","264544.176529","274301.361489","일반야영장업","","관리지역","","기타","","","사무실","","","","","","","","","","","","","","159","","","","","","","","","","","","","159",
"34","일반야영장업","03_11_07_P","5600000","CDFI2262132016000016","20160526","","02","휴업","02","휴업","","20200401","20210331","","","","","경기도 포천시 신북면 덕둔리 627-4","경기도 포천시 신북면 청신로 571","11137","주식회사 신북리조트","20200818090903","U","2020-08-20 02:40:00.0","","208916.468625591","496695.157503841","일반야영장업","","관리지역","1","","","","","","","","","","","","","","","","","","6561","","","","","","","","","","","","","6561",
"35","일반야영장업","03_11_07_P","3940000","CDFI2262132016000001","20160913","","02","휴업","02","휴업","","20220622","20240730","","","","","경기도 고양시 덕양구 지축동 153","경기도 고양시 덕양구 북한산로387번길 45-12 (지축동)","10580","북한산 둥글이네 캠핑","20221030162808","U","2022-11-01 02:40:00.0","","195412.500989188","462217.44931117","일반야영장업","","자연녹지지역","2","주택가주변","","","근린생활시설","2","0","0","0","","","0","0","","0","0","","0","266.14","","0","","","","","","","0","","","","266",
"36","일반야영장업","03_11_07_P","4160000","CDFI2262132017000024","20170703","","02","휴업","02","휴업","","20221101","20231101","","0315842400","","","경기도 가평군 상면 행현리 553-11","경기도 가평군 상면 수목원로 262-34","12448","앙티브","20221027135010","U","2022-10-29 02:40:00.0","","231572.064739629","472568.157022824","일반야영장업","","관리지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","260.73","","0","","","","","","","0","","","","261",
"37","일반야영장업","03_11_07_P","4250000","CDFI2262132015000014","20150601","","02","휴업","02","휴업","","20210727","20230630","","033-433-9005","","250862","강원도 홍천군 내촌면 답풍리 258-2","강원도 홍천군 내촌면 가래올길 53-16","25163","안단테 홍천캠핑장","20210727183047","U","2021-07-29 02:40:00.0","","295309.071715288","478919.596156508","일반야영장업","","관리지역","2","기타","","","기타","2","","","494","Andante hongcheon camp ground","General camp ground business","","","","","","","","353.06","","","","","","","","","600000000","","","","353",
"38","일반야영장업","03_11_07_P","4160000","CDFI2262132017000019","20170602","","02","휴업","02","휴업","","20210329","20231231","","","","","경기도 가평군 상면 원흥리 514-2","","","캠프락캠핑장","20210329174435","U","2021-03-31 02:40:00.0","","228160.520719212","480032.632512002","일반야영장업","","관리지역","2","기타","","","기타","2","1","","","","","","","","","","","","80.73","","","","","","","","","","","","","81",
"39","일반야영장업","03_11_07_P","4240000","CDFI2262132015000003","20150831","","02","휴업","02","휴업","","20210609","20220630","","","","","강원도 삼척시 가곡면 풍곡리 177-3","강원도 삼척시 가곡면 덕풍길 928","25955","덕풍계곡 솔밭야영장","20220203145520","U","2022-02-05 02:40:00.0","","393739.383651245","402116.903770216","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","1600","","0","","","","","","","0","","","","1600",
"40","일반야영장업","03_11_07_P","4750000","CDFI2262132016000001","20160819","","02","휴업","02","휴업","","20211116","20220710","","","","","전라북도 장수군 천천면 남양리 299-2","","","나봄야영장","20211117084159","U","2021-11-19 02:40:00.0","","246386.110254","244986.554676","일반야영장업","","관리지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","3901","","0","","","","","","","520000000","","","","3901",
"41","일반야영장업","03_11_07_P","4190000","CDFI2262132017000001","20170711","","02","휴업","02","휴업","","20220830","20230228","","031-771-3440","","","강원도 원주시 지정면 판대리 643-1","강원도 원주시 지정면 지정로 1393","26357","차밍캠핑","20220905174515","U","2022-09-07 02:40:00.0","","269366.568010494","432193.347067129","일반야영장업","","관리지역","1","기타","","","근린생활시설","0","0","0","24","","","0","0","","0","0","","0","1535","","0","","","","","","","200000000","","","","1535",
"42","일반야영장업","03_11_07_P","4190000","CDFI2262132018000001","20180810","","02","휴업","02","휴업","","20220610","20230331","","033-737-4765","","","강원도 원주시 지정면 간현리 1056-5","강원도 원주시 지정면 소금산길 26","26359","간현관광지 캠핑장","20220829091627","U","2022-08-31 02:40:00.0","","273663.762770529","429569.160637197","일반야영장업","","관리지역","0","","","","","0","0","0","220","","","0","0","","0","0","","0","9283","","0","","","","","","","0","","","","9283",
"43","일반야영장업","03_11_07_P","3990000","CDFI2262132015000003","20150820","","02","휴업","02","휴업","","20190401","20200401","","031-590-4245","","","경기도 남양주시 수동면 수산리 591-2","","","가족쉼터","20210303151445","U","2021-03-05 02:40:00.0","","223910.356564422","472516.593512406","일반야영장업","","관리지역","","기타","","","","","","","","","","","","","","","","","5199","","","","","","","","","1000000","","","","5199",
"44","일반야영장업","03_11_07_P","3720000","CDFI2262132015000001","20150709","","02","휴업","02","휴업","","20201231","20221230","","052-298-8859","","683240","울산광역시 북구 대안동 760-15","울산광역시 북구 동남로 561 (대안동)","44232","마운틴 캠핑장","20210104111338","U","2021-01-06 02:40:00.0","","416805.386373538","243439.549542346","일반야영장업","","관리지역","1","기타","","","단독주택","1","","","","","","","","","","","","","657","","","","","","","","","","","","","657",
"45","일반야영장업","03_11_07_P","3580000","CDFI2262132016000001","20160226","","02","휴업","02","휴업","","20220719","20230118","","","","","인천광역시 옹진군 영흥면 내리 1212-52","","","(주)더사칠공 야영장","20220719162718","U","2022-07-21 02:40:00.0","","153052.6486363","420377.085218576","일반야영장업","","","","","","현대해상","","","","","437","","","","","","","","","","5182","","","","","","","","","","","","","5182",
"46","일반야영장업","03_11_07_P","3580000","CDFI2262132017000001","20170327","","02","휴업","02","휴업","","20220408","20230407","","","","","인천광역시 옹진군 영흥면 내리 1333-205","인천광역시 옹진군 영흥면 영흥로 708-26","23117","솔밭캠핑장","20220408173629","U","2022-04-10 02:40:00.0","","151647.452670807","419006.282970396","일반야영장업","","관리지역","1","기타","","사고배상책임보험","기타","1","","","71","","","","","","","","","","1226","","","","","","","","","100000000","","","","1226",
"47","일반야영장업","03_11_07_P","4810000","CDFI2262132015000002","20150526","","02","휴업","02","휴업","","20220310","20220331","","0616444077","","556905","전라남도 여수시 돌산읍 평사리 1324","전라남도 여수시 돌산읍 돌산로 3017-15","59771","여수굴전여가캠핑장","20220304141319","U","2022-03-06 02:40:00.0","","270034.893787","132895.327489","일반야영장업","","자연녹지지역","","기타","","","","","","","","","","","","","","","","","16773","","","","","","","","","800000000","","","","16773",
"48","일반야영장업","03_11_07_P","5480000","CDFI2262132017000003","20170529","","02","휴업","02","휴업","","20190701","20220630","","","","","경상남도 합천군 대병면 대지리 296","경상남도 합천군 대병면 대지3길 9-39","50217","해인캠핑장","20220701114257","U","2022-07-03 02:40:00.0","","288633.174567077","227084.609743563","일반야영장업","","관리지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","4128","","0","","","","","","","0","","","","4128",
"49","일반야영장업","03_11_07_P","4250000","CDFI2262132016000001","20160310","","02","휴업","02","휴업","","20220701","20221231","","033-434-3486","","","강원도 홍천군 홍천읍 상오안리 420-1","강원도 홍천군 홍천읍 며느리고개길 148-18","25117","숲속동키마을 캠핑장","20220630092340","U","2022-07-02 02:40:00.0","","271005.459576743","460110.807899577","일반야영장업","","관리지역","1","기타","","","근린생활시설","1","","","587","The Forest Donkey Village Camp Ground","General Camp Ground Business","","","","","","","","586.95","","","","","","","","","10000000","","","","587",
"50","일반야영장업","03_11_07_P","5090000","CDFI2262132016000004","20160816","","02","휴업","02","휴업","","20210908","20220630","","054 637 2456","","","경상북도 영주시 단산면 좌석리 299","경상북도 영주시 단산면 영단로535번길 65-22","36007","하늘바라기캠핑장","20220617181245","U","2022-06-19 02:40:00.0","","340144.899376356","387682.544430243","일반야영장업","","관리지역","1","기타","","","기타","1","","","","","","","","","","","","","50","","","","","","","","","","","","","50",
"51","일반야영장업","03_11_07_P","4160000","CDFI2262132017000001","20170207","","02","휴업","02","휴업","","20210907","20300906","","","","","경기도 가평군 설악면 가일리 258-1","경기도 가평군 설악면 유명산길 61-12","12473","유명산 258","20220406160014","U","2022-04-08 02:40:00.0","","243360.952240496","455010.362735462","일반야영장업","","관리지역","1","기타","","","기타","1","1","","","","","","","","","","","","590.08","","","","","","","","","","","","","590",
"52","일반야영장업","03_11_07_P","5370000","CDFI2262132015000003","20151218","","02","휴업","02","휴업","","20221007","20231006","","055 633 5955","","","경상남도 거제시 동부면 오송리 784-2","경상남도 거제시 동부면 가배오송길 123 (문화관광농원)","53330","문화관광농원청소년야영장","20221012181504","U","2022-10-14 02:40:00.0","","344521.033080921","144678.539355006","일반야영장업","","","","","","","","","","","","","","","","","","","","","8977","","","","","","","","","","","","","8977",
"53","일반야영장업","03_11_07_P","5370000","CDFI2262132016000001","20160426","","02","휴업","02","휴업","","20180314","20200630","","055 632 1100","","","경상남도 거제시 남부면 갈곶리 78-3번지","","","해금강호텔 야영장","20191210121805","U","2019-12-12 02:40:00.0","","353168.324196397","138898.368494764","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"54","일반야영장업","03_11_07_P","6510000","CDFI2262132015001065","20150608","","02","휴업","02","휴업","","20220625","20251231","","064-773-0000","","","제주특별자치도 제주시 한경면 판포리 산 8","제주특별자치도 제주시 한경면 판조로 253-6","63003","비체올린","20220624174725","U","2022-06-26 02:40:00.0","","127103","-16052","일반야영장업","","","0","","","","","0","0","0","","","","","","","","","","","22738","","","","","","","","","0","","","","22738",
"55","일반야영장업","03_11_07_P","5450000","CDFI2262132015000001","20150617","","02","휴업","02","휴업","","20220428","20230430","","055-970-6951","","666831","경상남도 산청군 금서면 특리 1300-86","경상남도 산청군 금서면 동의보감로555번길 186","52229","한방자연휴양림","20220726085520","U","2022-07-28 02:40:00.0","","274787.538764903","215340.619516877","일반야영장업","","","0","","","","","0","0","0","286","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"56","일반야영장업","03_11_07_P","5450000","CDFI2262132015000002","20150804","","02","휴업","02","휴업","","20220614","20241231","","055-972-7775","","52236","경상남도 산청군 시천면 중산리 634-4","경상남도 산청군 시천면 지리산대로 320-2","52236","중산리야영장","20220622093230","U","2022-06-24 02:40:00.0","","267978.449175043","201022.353057579","일반야영장업","","","0","","","","","0","0","0","107","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"57","일반야영장업","03_11_07_P","5050000","CDFI2262132018000002","20180518","","02","휴업","02","휴업","","20220701","20221231","","","","","경상북도 경주시 천북면 물천리 624-1","경상북도 경주시 천북면 물천안길 31","38038","경주생태원캠핑장","20220720175456","U","2022-07-22 02:40:00.0","","406040.415796236","265597.753224113","일반야영장업","","","0","","","","","0","0","0","877","","","0","0","","0","0","","0","9550","","0","","","","","","","0","","","","9550",
"58","일반야영장업","03_11_07_P","4520000","CDFI2262132017000003","20170831","","02","휴업","02","휴업","","20211201","20220324","","041 538 1958","","","충청남도 아산시 영인면 아산리 산 56-1","충청남도 아산시 영인면 아산온천로 16-26","31432","영인산자연휴양림 숲속야영장","20211229093051","U","2021-12-31 02:40:00.0","","195670.08859100000","371354.94670500000","일반야영장업","","생산녹지지역","","","","","","","","","111","Younginsan Natural Forest Campsite","Camping Business","","","","","","","","7958","","","","","","","","","","","","","7958",
"59","일반야영장업","03_11_07_P","4400000","CDFI2262132015000025","20151002","","02","휴업","02","휴업","","20181129","20201230","","","","","충청북도 제천시 금성면 포전리 205번지","충청북도 제천시 금성면 중포1안길 89","27210","늘해랑캠핑장","20181206124112","U","2018-12-08 02:40:00.0","","307163.631451","396311.435387","일반야영장업","","관리지역","","기타","","","","","","","","","","","","","","","","","1980","","","","","","","","","","","","","1980",
"60","일반야영장업","03_11_07_P","4290000","CDFI2262132015000009","20150717","","02","휴업","02","휴업","","20211008","20221130","","","","233842","강원도 정선군 여량면 구절리 276-1","강원도 정선군 여량면 노추산로 794","26104","구절초마을캠핑장","20211012105313","U","2021-10-14 02:40:00.0","","353074.23428093","447254.939237054","일반야영장업","","관리지역","1","기타","","","기타","1","","","","","","","","","","","","","2837","","","","","","","","","","","","","2837",
"61","일반야영장업","03_11_07_P","4390000","CDFI2262132015000002","20150430","","02","휴업","02","휴업","","20220715","20220815","","043-855-8466","","","충청북도 충주시 중앙탑면 하구암리 671","충청북도 충주시 중앙탑면 감노로 2003","27448","초원오토캠핑장","20220914093439","U","2022-09-16 02:40:00.0","","272628.871253","393511.84076","일반야영장업","","관리지역","0","기타","","삼성화재해상보험","","0","0","0","0","","","0","0","","0","0","","0","3943","","0","","","","","","","0","","","","3943",
